,,,Утрау ГОД 2026,,,,Утрау ЯНВАРЬ,,,,Утрау ФЕВРАЛЬ,,,,2 месяца,,,Утрау МАРТ,,,,3 месяца,,,Утрау АПРЕЛЬ,,,,Утрау МАЙ,,,,Утрау ИЮНЬ,,,,Утрау ИЮЛЬ,,,,Утрау АВГУСТ,,,,Утрау СЕНТЯБРЬ,,,,Утрау ОКТЯБРЬ,,,,Утрау НОЯБРЬ,,,,Утрау ДЕКАБРЬ,,,
,,ПОЯСНЕНИЯ ,Факт год  2025,ПЛАН год 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ПЛАН 2026,ФАКТ 2026,отклонение,ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026",ФАКТ 2025,ПЛАН 2026,ФАКТ 2026,"% прирост
2025-2026"
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.,Затраты по операционной деятельности,,181 369 749,193 306 884,62 479 311,107%,14 507 957,14 465 873,14 987 270,100%,12 227 802,13 305 311,12 700 119,109%,27 771 184,27 687 389,-83 795,10 005 185,12 985 000,12 432 356,130%,40 756 184,40 095 996,,13 108 707,13 425 100,10 886 791,102%,14 354 516,15 996 000,11 487 426,111%,14 756 963,17 342 400,0,118%,17 235 025,19 457 400,0,113%,19 489 663,19 551 200,0,100%,19 062 813,17 249 200,0,90%,15 810 624,15 903 200,0,101%,13 117 627,15 050 200,0,115%,17 687 867,18 576 000,0,105%
,доля в выручке,,98%,85%,127%,87%,95%,123%,127%,130%,123%,148%,161%,120%,134%,141%,0,92%,131%,133%,142%,,,,147%,143%,154%,97%,"90,27%","92,99%","87,41%",103%,77%,68%,,89%,59%,59%,,101%,65%,57%,,87%,127%,76%,,60%,144%,97%,,68%,132%,92%,,70%,188%,89%,,47%
,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.,Служба приема и размещения,,3 863 172,4 866 043,1 816 557,126%,332 277,354 043,406 736,107%,182 435,255 000,382 803,140%,609 043,789 539,180 496,215 495,250 000,354 152,116%,859 043,1 138 769,,216 595,250 000,316 461,115%,240 490,507 000,371 056,211%,275 411,507 000,0,184%,436 063,507 000,0,116%,556 579,507 000,0,91%,384 972,507 000,0,132%,344 424,407 000,0,118%,387 108,407 000,0,105%,291 323,408 000,0,140%
2.1.1,ФОТ,,3 863 172,4 866 043,1 808 355,126%,332 277,354 043,406 736,107%,182 435,255 000,377 881,140%,609 043,784 617,175 574,215 495,250 000,354 152,116%,859 043,1 138 769,,216 595,250 000,316 461,115%,240 490,507 000,353 125,211%,275 411,507 000,,184%,436 063,507 000,,116%,556 579,507 000,,91%,384 972,507 000,,132%,344 424,407 000,,118%,387 108,407 000,,105%,291 323,408 000,,140%
2.1.2,"Бытовая химия, хоз товары(хорека)",,0,0,0,,,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.3,"Бытовая техника и оборудование, мебель",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1.4.,Расходные материалы,,0,0,8 202,,,0,,,,,4 922,,0,4 922,4 922,,,,,,,,,,,,,,3 280,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
2.2.,Проживание ,,25 189 818,23 536 028,6 864 674,93%,2 574 433,1 283 928,1 311 041,50%,1 285 564,1 207 700,1 312 473,94%,2 491 628,2 623 514,131 886,1 074 796,1 419 900,1 285 996,132%,3 911 528,3 909 510,,2 065 733,1 497 500,1 435 483,72%,2 424 102,2 137 500,1 519 681,88%,2 401 057,2 682 500,0,112%,2 394 617,2 602 500,0,109%,3 200 638,2 532 500,0,79%,3 005 683,2 344 500,0,78%,1 666 615,1 887 500,0,113%,1 392 137,1 797 500,0,129%,1 704 443,2 142 500,0,126%
2.2.1,ФОТ,,8 924 582,8 426 054,3 637 054,94%,700 556,743 654,839 396,106%,455 144,520 000,597 562,114%,1 263 654,1 436 958,173 304,545 756,522 400,723 756,96%,1 786 054,2 160 714,,548 361,520 000,713 759,95%,834 350,840 000,762 581,101%,893 685,840 000,,94%,1 113 029,840 000,,75%,1 107 208,840 000,,76%,716 226,840 000,,117%,737 711,640 000,,87%,675 267,640 000,,95%,597 289,640 000,,107%
2.2.2,"Бытовая химия, хоз товары(хорека)","Бытовая химия, хоз товары в номера (чистящие, моющие; расходные материалы: перчатки, ведра для мытья, мешки для мусора; хоз. товары в номера: коврики в номера, душ-лейка, полочки, зеркала, вешалки, подставки для обуви, посуда и т.д.) запланировано по статистике за предыдущий период",2 247 867,1 730 000,237 130,77%,224 917,,3 317,0%,113 200,90 000,160 941,80%,90 000,164 258,74 258,23 067,50 000,20 783,217%,140 000,185 041,,131 298,85 000,25 369,65%,415 925,200 000,26 720,48%,252 130,235 000,,93%,220 502,235 000,,107%,104 597,185 000,,177%,182 697,180 000,,99%,172 054,155 000,,90%,75 301,65 000,,86%,332 179,250 000,,75%
2.2.3,"Бытовая техника и оборудование, мебель",,0,0,19 287,,,0,2 393,,,,,,0,2 393,2 393,,,16 894,,0,19 287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2.4,Содержание и ремонт помещений,"Запланировано по статистике за предыдущий период (ремонтно-строительные материалы: гвозди, саморезы, доски, трубы;  ковролин, лампочки, розетки, краны, выключатели, радиаторы, замки и т.д.)",1 082 670,898 564,129 733,83%,382 615,118 364,8 636,31%,170 912,100 200,5 134,59%,218 564,13 770,-204 794,,150 000,,,368 564,13 770,,456 450,250 000,87 017,55%,3 650,15 000,28 946,411%,,30 000,,,,50 000,,,,30 000,,,,25 000,,,,30 000,,,69 043,75 000,,109%,,25 000,,
