,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,графики,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,слайд №2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Загрузка номерного фонда  за 2025-2026 г.г.,,,,,Загрузка номерного фонда  за 2025-2026 г.г.,,,,,,,,,
СПА,млн руб.,"1,77","1,03","1,03","1,32","1,00","0,8",,,,,,,,,
прочее,млн руб.,"0,19","0,01","0,05","0,26","0,02","0,02",,,,,,,,,
,,,,,,,,,,,,,,,,
"Затраты, всего",млн руб.,,"14,47","14,63",,"13,31","12,11",,,,,,,,,
в т. ч.,,,,,,,,,,,,,,,,
 ФОТ (зарплата+отчисления),млн руб.,,"8,19","8,19",,"7,36","7,33",,,,,,,,,
коммунальные платежи,млн руб.,,"2,55","2,68",,"2,06","2,07",,,,,,,,,
 продукты питания,млн руб.,,"1,40","1,32",,"  0,93   ","0,71",,,,,,,,,
 фудкост,%,,40,38,,"40,0",33,,,,,,,,,
Операционная прибыль/убыток,млн руб.,,"-2,7","-2,82",,"-4,3","-4,21",,,,,,,,,
Возврат налога за предыдущий период,млн руб.,,,,,,"2,23",,,,,,,,,
Получение кредитов/займов,млн руб.,,"3,75","3,75",,"3,8","3,4",,,,,,,,,
Погашение  кредитов и процентов,млн руб.,,"2,69","2,69",,"2,7","2,11",,,,,,,,,
Общий  результат по БДР,млн руб.,,"-1,6","-1,8",,"-3,2","-0,7",,,,,,,,,
,,,,,,,,,,,,,,,,
атегория,Значение,Вспомогательный (нижняя часть),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Затраты 2024,"144,9",0,,,,,,,,,,,,,,
Объемный рост,"32,9","144,9",,,,,,,,,,,,,,
Легализация ФОТ,"21,1","177,8",,,,,,,,,,,,,,
Прочие затраты,"4,5","198,9",,,,,,,,,,,,,,
Инфляция,"3,4","203,4",,,,,,,,,,,,,,
Экономия продуктов,"-13,3","206,8",,,,,,,,,,,,,,
Затраты 2026,193,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Ebitda 2024,"144,9","55,7",,,,,,,,,,,,,,
Выручка 2024,,"200,6",,,,,,,,,,,,,,
Затраты 2024,,"144,9",,,,,,,,,,,,,,
"Зарплата на ""руки""","144,9","17,3",,,,,,,,,,,,,,
"Страховые взносы, НДФЛ","162,2","18,6",,,,,,,,,,,,,,
Рост объема продаж,"180,8","7,4",,,,,,,,,,,,,,
Рост тарифов (КУ),"188,2","4,8",,,,,,,,,,,,,,
Прочие затраты,193,"1,5",,,,,,,,,,,,,,
Экономия продуктов,193,"1,5",,,,,,,,,,,,,,
Затраты 2026,,193,,,,,,,,,,,,,,
Выручка 2026,,"226,3",,,,,,,,,,,,,,
Ebitda 2026,193,"33,3",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,январь,,,февраль,,,март,,,,,,,,,
,2024,2025,2026,2024,2025,2026,2024,2025,2026,,,,,,,
 ФОТ ,"3,8","8,2","8,2","4,1","6,9","7,3","3,9","6,1","7,2",,,,,,,
коммунальные платежи,"1,6","1,3","2,7","1,9","2,3","2,2","2,0","1,3","1,8",,,,,,,
 продукты питания,"1,2","1,8","1,5","1,0","1,0","0,8","1,2","1,2","1,0",,,,,,,
"Стирка, химчиска","0,1","0,6","0,4","0,7","0,4","0,3","0,3","0,4","0,4",,,,,,,
"Хоз. товары (хорека),  расход.материалы","0,5","0,5","0,0","0,2","0,3","0,3","0,5","0,2","0,2",,,,,,,
Комлектация номеров,"0,3","0,2","0,0","0,3","0,2","0,2","0,2","0,2","0,2",,,,,,,
Доставка персонала,"0,2","0,1","0,2","0,1","0,2","0,3","0,1","0,2","0,3",,,,,,,
Реклама,"0,0","0,1","0,1","0,1","0,1","0,1","0,2","0,1","0,1",,,,,,,
"ПО,  интернет, связь","0,1","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2",,,,,,,
Прочее,"0,9","0,9","1,3","0,7","0,5","0,8","0,6","0,4","0,4",,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Месяц,Год, ФОТ ,коммунальные платежи, продукты питания,"Стирка, химчиска","Хоз. товары (хорека),  расход.материалы",Комлектация номеров,Доставка персонала,Реклама,"ПО,  интернет, связь",Прочее,,,,,
январь,2024,"3,8","1,6","1,2","0,1","0,5","0,3","0,3","0,0","0,1","0,8",,,,,
январь,2025,"8,2","1,3","1,8","0,6","0,5","0,2","0,2","0,1","0,2","0,8",,,,,
январь,2026,"8,2","2,7","1,5","0,4","0,0","0,0","0,2","0,1","0,2","1,3",,,,,
февраль,2024,"4,1","1,9","1,0","0,7","0,2","0,3","3,0","0,1","0,2","0,6",,,,,
февраль,2025,"6,9","2,3","1,0","0,4","0,3","0,2","0,3","0,1","0,2","0,4",,,,,
февраль,2026,"7,3","2,2","0,8","0,3","0,3","0,2","0,3","0,1","0,2","0,8",,,,,
март,2024,"3,9","2,0","1,2","0,3","0,5","0,2","0,2","0,2","0,2","0,4",,,,,
март,2025,"6,1","1,3","1,2","0,4","0,2","0,2","0,3","0,1","0,2","0,3",,,,,
март,2026,"7,2","1,8","1,0","0,4","0,2","0,2","0,3","0,1","0,2","0,4",,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Месяц,год,ФОТ,Продукты,Коммуналка,"Стирка, химчиска","Хоз. товары (хорека),  расход.материалы",Комлектация номеров,Доставка персонала,Реклама,"ПО,  интернет, связь",Прочее,,,,,
январь,24,"3,8","1,2","1,6","0,1","0,5","0,3","0,3","0,0","0,1","0,8",,,,,
,25,"8,2","1,8","1,3","0,6","0,5","0,2","0,2","0,1","0,2","0,8",,,,,
,26,"8,2","1,5","2,7","0,4","0,0","0,0","0,2","0,1","0,2","1,3",,,,,
,,,,,,,,,,,,,,,,
февраль,24,"4,1",1,"1,9","0,5","0,2","0,3","0,3","0,1","0,2","0,6",,,,,
,25,"6,9",1,"2,3","0,4","0,3","0,2","0,3","0,1","0,2","0,4",,,,,
,26,"7,3","0,8","2,2","0,3","0,3","0,2","0,3","0,1","0,2","0,8",,,,,
,,,,,,,,,,,,,,,,
март,24,"3,9","1,2",2,"0,3","0,5","0,2","0,2","0,2","0,2","0,4",,,,,
,25,"6,1","1,2","1,3","0,4","0,2","0,2","0,3","0,1","0,2","0,3",,,,,
,26,"7,2",1,"1,8","0,4","0,2","0,2","0,3","0,1","0,2","0,4",,,,,
