,Доходность и загрузка,,,,,,,,,,,,
,,,,,,,,,,,,,
,Валюта: RUB,,,,,,,,,,,,
,,,,,,,,,,,,,
,Период: 01.01.2025 - 31.12.2025,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Категории номеров: Бунгало с зоной патио, Aфрейм, Геокупол мини, Геокупол макси 20, Зеркальный дом на дереве, Бунгало с видом на залив, Панорамная баня, Кедровая баня, Липовая баня, VIP комната на 2-ом этаже, Массажный кабинет, Джакузи, Ресторан, Ресепшен услуги, Шатер, SPA комплекс, Зеркальный дом на воде, Бунгало в лесу, Гнездо на дереве, Геокупол лес, Бунгало на берегу залива, Нео-Типи, Бунгало в лесу СПА, Мыс, Пирс, Катер, Яхта, Гидроцикл, Гео Купол Аренда, Падел теннис, САП Борд, Баня бочка, Фурако, SPA-комплекс, Зона патио с 2-мя бунгало, Геокупол maxi 21",,,,,,,,,,,,
,,,,,,,,,,,,,
,Дата формирования: 29.06.2026,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Источник: От стойки, По звонку, Из канала продаж, Сайт гостиницы, Факс, Email, ВКонтакте, Мобильная версия сайта, Facebook, TripAdvisor, Импорт, Инстаграм, телеграм, ватсап, Камиль, Группы, Other, MICE, Leisure, Бронирование из экстранета, Яндекс.Путешествия, Мобильный экстранет",,,,,,,,,,,,
,,,,,,,,,,,,,
Дата,,Доход за проживание,Продано номероночей,,Заезд гостей,Заезд номеров,ADR,RevPar,ALS,Всего номеров,На ремонте,Всего доступно номеров,Общий % загрузки номеров
12.03.2025,,"73 060,00",9,,14,6,"8 117,78","1 352,96","1,00",55,1,54,"16,67 %"
13.03.2025,,"30 200,00",5,,9,3,"6 040,00","559,26","1,00",55,1,54,"9,26 %"
14.03.2025,,"103 100,00",17,,39,17,"6 064,71","1 909,26","1,53",55,1,54,"31,48 %"
15.03.2025,,"338 050,00",35,,82,31,"9 658,57","6 260,19","1,03",55,1,54,"64,81 %"
16.03.2025,,"97 800,00",14,,28,12,"6 985,71","1 845,28","1,08",55,2,53,"26,42 %"
17.03.2025,,"10 800,00",4,,6,2,"2 700,00","203,77","1,00",55,2,53,"7,55 %"
18.03.2025,,"72 500,00",9,,17,8,"8 055,56","1 394,23","1,13",55,3,52,"17,31 %"
19.03.2025,,"72 200,00",9,,13,6,"8 022,22","1 504,17","1,00",55,7,48,"18,75 %"
20.03.2025,,"42 800,00",6,,11,4,"7 133,33","910,64","1,00",55,8,47,"12,77 %"
21.03.2025,,"185 300,00",22,,48,20,"8 422,73","3 431,48","1,35",55,1,54,"40,74 %"
22.03.2025,,"370 469,00",34,,79,27,"10 896,15","6 989,98","1,00",55,2,53,"64,15 %"
23.03.2025,,"132 750,00",17,,45,16,"7 808,82","2 709,18","1,19",55,6,49,"34,69 %"
24.03.2025,,"100 295,00",13,,36,11,"7 715,00","1 892,36","1,27",55,2,53,"24,53 %"
25.03.2025,,"116 200,00",13,,24,9,"8 938,46","2 192,45","1,22",55,2,53,"24,53 %"
26.03.2025,,"94 500,00",11,,20,9,"8 590,91","1 783,02","1,00",55,2,53,"20,75 %"
27.03.2025,,"81 400,00",11,,34,11,"7 400,00","1 535,85","1,00",55,2,53,"20,75 %"
28.03.2025,,"171 200,00",21,,51,20,"8 152,38","3 292,31","1,20",55,3,52,"40,38 %"
29.03.2025,,"515 120,00",45,,104,42,"11 447,11","9 906,15","1,12",55,3,52,"86,54 %"
30.03.2025,,"210 200,00",25,,53,21,"8 408,00","3 966,04","1,00",55,2,53,"47,17 %"
31.03.2025,,"121 725,00",13,,31,12,"9 363,46","2 484,18","1,08",55,6,49,"26,53 %"
апреля 2025,,"4 394 626,50",487,,1107,422,"9 023,87","2 910,35","1,15",1650,140,1510,"32,25 %"
01.04.2025,,"52 950,00",6,,12,4,"8 825,00","1 080,61","1,00",55,6,49,"12,24 %"
02.04.2025,,"32 900,00",6,,14,5,"5 483,33","671,43","1,20",55,6,49,"12,24 %"
03.04.2025,,"28 400,00",4,,7,3,"7 100,00","579,59","1,00",55,6,49,"8,16 %"
04.04.2025,,"86 100,00",12,,37,12,"7 175,00","1 722,00","1,00",55,5,50,"24,00 %"
05.04.2025,,"405 301,00",39,,108,39,"10 392,33","7 647,19","1,03",55,2,53,"73,58 %"
06.04.2025,,"74 015,00",10,,29,9,"7 401,50","1 396,51","1,00",55,2,53,"18,87 %"
07.04.2025,,"56 600,00",7,,22,7,"8 085,71","1 088,46","1,14",55,3,52,"13,46 %"
08.04.2025,,"62 100,00",8,,12,6,"7 762,50","1 194,23","1,33",55,3,52,"15,38 %"
09.04.2025,,"156 300,00",18,,31,16,"8 683,33","3 812,20","1,06",55,14,41,"43,90 %"
10.04.2025,,"61 250,00",8,,17,7,"7 656,25","1 177,88","1,00",55,3,52,"15,38 %"
11.04.2025,,"123 900,00",18,,47,18,"6 883,33","2 337,74","1,00",55,2,53,"33,96 %"
12.04.2025,,"413 978,00",36,,93,36,"11 499,39","8 117,22","1,03",55,4,51,"70,59 %"
13.04.2025,,"28 400,00",3,,4,2,"9 466,67","579,59","1,00",55,6,49,"6,12 %"
14.04.2025,,"45 215,00",5,,10,5,"9 043,00","886,57","1,60",55,4,51,"9,80 %"
15.04.2025,,"68 515,00",8,,16,6,"8 564,38","1 343,43","1,33",55,4,51,"15,69 %"
16.04.2025,,"115 750,00",13,,27,11,"8 903,85","2 362,24","1,00",55,6,49,"26,53 %"
17.04.2025,,"56 100,00",9,,14,5,"6 233,33","1 100,00","1,00",55,4,51,"17,65 %"
18.04.2025,,"117 985,50",13,,34,13,"9 075,81","2 313,44","1,46",55,4,51,"25,49 %"
19.04.2025,,"425 647,00",39,,90,33,"10 914,03","8 346,02","1,06",55,4,51,"76,47 %"
20.04.2025,,"121 050,00",15,,24,12,"8 070,00","2 327,88","1,08",55,3,52,"28,85 %"
21.04.2025,,"49 700,00",7,,18,6,"7 100,00","1 035,42","1,50",55,7,48,"14,58 %"
22.04.2025,,"100 510,00",12,,23,10,"8 375,83","2 093,96","2,10",55,7,48,"25,00 %"
23.04.2025,,"160 910,00",18,,29,12,"8 939,44","3 094,42","1,17",55,3,52,"34,62 %"
24.04.2025,,"206 010,00",24,,42,18,"8 583,75","3 961,73","1,44",55,3,52,"46,15 %"
25.04.2025,,"249 800,00",32,,69,27,"7 806,25","4 803,85","1,26",55,3,52,"61,54 %"
26.04.2025,,"585 000,00",53,,121,41,"11 037,74","11 037,74","1,02",55,2,53,"100,00 %"
27.04.2025,,"144 400,00",19,,49,18,"7 600,00","3 072,34","1,11",55,8,47,"40,43 %"
28.04.2025,,"89 200,00",11,,18,8,"8 109,09","2 074,42","1,13",55,12,43,"25,58 %"
29.04.2025,,"73 900,00",7,,14,6,"10 557,14","1 421,15","1,00",55,3,52,"13,46 %"
30.04.2025,,"202 740,00",27,,76,27,"7 508,89","3 754,44","1,33",55,1,54,"50,00 %"
мая 2025,,"8 911 424,50",834,,1666,606,"10 685,16","6 197,10","1,34",1717,279,1438,"58,00 %"
01.05.2025,,"640 817,00",54,,148,48,"11 866,98","11 651,22","1,73",55,0,55,"98,18 %"
02.05.2025,,"675 377,50",54,,84,27,"12 506,99","12 279,59","1,41",55,0,55,"98,18 %"
03.05.2025,,"628 527,50",54,,94,33,"11 639,40","11 427,77","1,27",55,0,55,"98,18 %"
04.05.2025,,"310 737,50",30,,67,24,"10 357,92","6 611,44","1,50",55,8,47,"63,83 %"
05.05.2025,,"243 950,00",27,,42,16,"9 035,19","5 082,29","1,63",55,7,48,"56,25 %"
06.05.2025,,"150 150,00",17,,21,8,"8 832,35","3 128,13","1,25",55,7,48,"35,42 %"
07.05.2025,,"152 350,00",17,,30,12,"8 961,76","3 241,49","1,75",55,8,47,"36,17 %"
08.05.2025,,"559 050,00",50,,128,44,"11 181,00","10 548,11","1,52",55,2,53,"94,34 %"
09.05.2025,,"640 642,00",53,,90,34,"12 087,58","12 087,58","1,29",55,2,53,"100,00 %"
10.05.2025,,"595 150,00",48,,81,28,"12 398,96","11 229,25","1,11",55,2,53,"90,57 %"
11.05.2025,,"180 950,00",16,,38,14,"11 309,38","3 479,81","1,14",55,3,52,"30,77 %"
12.05.2025,,"111 150,00",11,,21,8,"10 104,55","2 850,00","1,38",55,16,39,"28,21 %"
